fen,action,score,result
2w3bw/8/5w2/4b3/3b4/1b6/8/5wb1 b,"(4, 4)",0
2w3bw/8/5w2/3wb3/3bb3/1b6/8/5wb1 w,"(5, 5)",0
2w3bw/8/5w2/3wb3/3bb3/1b6/8/5wb1 b,"(3, 4)",0
2w3bw/8/5w2/2wwb3/2bbb3/1b6/8/5wb1 w,"(3, 5)",50
2w3bw/8/5w2/2wwb3/2bbb3/1b6/8/5wb1 b,"(2, 5)",50
2w3bw/8/5w2/2wwb3/1wbbbb2/1b6/8/5wb1 w,"(6, 5)",100,1
8/8/5w2/4b1b1/8/8/8/8 w,"(5, 4)",0
8/8/5w2/4b1b1/8/8/8/8 b,"(5, 5)",0
8/8/5w2/3bb1b1/4w3/8/8/8 w,"(4, 4)",50
8/8/5w2/3bb1b1/4w3/8/8/8 b,"(4, 5)",50
8/8/5w2/3bbbb1/3ww3/8/8/8 w,"(6, 4)",100,1
5w2/w6w/1w3bb1/3b4/3b2b1/w2bb3/4w3/8 w,"(4, 4)",50
5w2/w6w/1w3bb1/3b4/3b2b1/w2bb3/4w3/8 b,"(4, 3)",50
5w2/w6w/1w1w1bb1/3b4/3b2b1/w2bb3/3bw3/8 w,"(4, 7)",100,1
5ww1/7b/8/b1bbb2b/2w5/w7/2w5/8 w,"(3, 4)",50
5ww1/7b/8/b1bbb2b/2w5/w7/2w5/8 b,"(2, 4)",50
5ww1/7b/8/bwbbbb1b/2w5/w7/2w5/8 w,"(6, 4)",100,1
5b2/bbbw3w/b2w2wb/2w3bw/ww1bb2w/3bwbb1/w7/wbw1b3 b,"(1, 6)",-100,-1
2b1ww2/ww2bbb1/1b6/3w4/b2b4/4w1w1/7b/wb6 b,"(4, 2)",-50
2b1ww2/wwbwbbb1/1b6/3w4/b2b4/4w1w1/7b/wb6 w,"(3, 2)",50
2b1ww2/wwbwbbb1/1b6/3w4/b2b4/4w1w1/7b/wb6 b,"(8, 2)",1
2b1ww2/wwbwbbbw/1b6/3wb3/b2b4/4w1w1/7b/wb6 w,"(5, 4)",50
2b1ww2/wwbwbbbw/1b6/3wb3/b2b4/4w1w1/7b/wb6 b,"(3, 4)",50
2b1ww2/wwbwbbbw/1b3b2/2wwb3/b2b4/4w1w1/7b/wb6 w,"(6, 3)",100,1
w1bb1b1w/1b1b3b/bww5/1w6/1w4w1/w1w3b1/w3b2b/bw4b1 w,"(2, 2)",50
w1bb1b1w/1b1b3b/bww5/1w6/1w4w1/w1w3b1/w3b2b/bw4b1 b,"(2, 6)",-100,-1
2w1bww1/2b3bb/ww1bww1b/b1b1w1b1/ww1w1b2/wb1w1b1b/wbw1w3/1b1b2b1 w,"(1, 4)",50
2w1bww1/2b3bb/ww1bww1b/b1b1w1b1/ww1w1b2/wb1w1b1b/wbw1w3/1b1b2b1 b,"(1, 8)",-100,-1
5ww1/b1w5/1b2w3/w4b2/3b4/6b1/6wb/2b5 w,"(4, 5)",50
5ww1/b1w5/1b2w3/w4b2/3b4/6b1/6wb/2b5 b,"(5, 5)",50
5ww1/b1w5/1b2w3/w1b2b2/3bw3/6b1/6wb/2b5 w,"(3, 4)",100,1
2w2b2/8/8/2b1b3/8/8/4w3/8 w,"(5, 4)",0
2w2b2/8/8/2b1b3/8/8/4w3/8 b,"(3, 5)",0
2w2b2/8/8/2bbb3/2w5/8/4w3/8 w,"(4, 4)",50
2w2b2/8/8/2bbb3/2w5/8/4w3/8 b,"(2, 4)",-50
2w2b2/8/8/1wbbb3/2w5/3b4/4w3/8 w,"(4, 6)",50
2w2b2/8/8/1wbbb3/2w5/3b4/4w3/8 b,"(5, 5)",50
2w2b2/8/8/1wbbbb2/2w1w3/3b4/4w3/8 w,"(6, 4)",100,1
4bbww/1w1bw3/b2w3w/3bb3/3bb3/8/w2b4/1w6 w,"(4, 5)",50
4bbww/1w1bw3/b2w3w/3bb3/3bb3/8/w2b4/1w6 b,"(3, 5)",50
4bbww/1w1bw3/b2w3w/3bb3/2wbb3/3b4/w2b4/1w6 w,"(4, 6)",100,1
w4w2/8/5b2/b2bw3/1bw2w2/2b4b/bw2b3/4w3 b,"(5, 5)",-50
w4w2/8/5b2/b2bw3/1bwbww2/2b4b/bw2b3/4w3 w,"(4, 5)",50
w4w2/8/5b2/b2bw3/1bwbww2/2b4b/bw2b3/4w3 b,"(3, 4)",50
w4w2/8/5b2/b1wbw3/1bwbww2/2b4b/bw1bb3/4w3 w,"(4, 7)",100,1
1w2b3/1b1w4/6b1/wwb2b2/bw1wb3/3bw3/6w1/4b3 w,"(5, 5)",100,1
4w2w/wbb1wbwb/b1b3b1/3w4/1ww3w1/bbwb1b1b/8/1ww1b3 b,"(3, 7)",-100,-1
1b2wbbw/8/1b1w4/3b4/5b1w/2b1w3/w2w4/1bbw4 w,"(4, 4)",0
1b2wbbw/8/1b1w4/3b4/5b1w/2b1w3/w2w4/1bbw4 b,"(4, 5)",-50
1b2wbbw/8/1b1w4/3b4/3w1b1w/2bbw3/w2w4/1bbw4 w,"(4, 6)",0
1b2wbbw/8/1b1w4/3b4/3w1b1w/2bbw3/w2w4/1bbw4 b,"(5, 4)",0
1b2wbbw/8/1b1w4/3bw3/3wbb1w/2bbw3/w2w4/1bbw4 w,"(5, 5)",50
1b2wbbw/8/1b1w4/3bw3/3wbb1w/2bbw3/w2w4/1bbw4 b,"(3, 7)",-50
1b2wbbw/8/1b1wb3/3bw3/3wbb1w/2bbw3/w1ww4/1bbw4 w,"(5, 3)",50
1b2wbbw/8/1b1wb3/3bw3/3wbb1w/2bbw3/w1ww4/1bbw4 b,"(2, 7)",-100,-1
1w4w1/1bb5/8/3b1w2/2w5/8/3bw2b/5b2 w,"(4, 4)",0
1w4w1/1bb5/8/3b1w2/2w5/8/3bw2b/5b2 b,"(5, 5)",0
1w4w1/1bb5/8/3b1w2/2wbw3/8/3bw2b/5b2 w,"(4, 5)",50
1w4w1/1bb5/8/3b1w2/2wbw3/8/3bw2b/5b2 b,"(4, 6)",-50
1w4w1/1bb5/8/1b1b1w2/2wbw3/3w4/3bw2b/5b2 w,"(2, 4)",-50
1w4w1/1bb5/8/1b1b1w2/2wbw3/3w4/3bw2b/5b2 b,"(3, 7)",-100,-1
8/8/8/3b4/8/8/8/8 w,"(4, 4)",0
8/8/8/3b4/8/8/8/8 b,"(4, 5)",0
8/8/8/3b4/2bw4/8/8/8 w,"(3, 5)",0
8/8/8/3b4/2bw4/8/8/8 b,"(4, 6)",0
8/8/8/2bb4/2bw4/3w4/8/8 w,"(3, 4)",0
8/8/8/2bb4/2bw4/3w4/8/8 b,"(5, 3)",0
8/8/4w3/2bbb3/2bw4/3w4/8/8 w,"(5, 4)",50
8/8/4w3/2bbb3/2bw4/3w4/8/8 b,"(2, 4)",50
8/8/4w3/1wbbbb2/2bw4/3w4/8/8 w,"(6, 4)",100,1
w2b2w1/3w4/4b3/5wbw/8/5b2/2b5/6b1 b,"(5, 4)",0
w2b2w1/3w4/4b3/3bwwbw/8/5b2/2b5/6b1 w,"(4, 4)",0
w2b2w1/3w4/4b3/3bwwbw/8/5b2/2b5/6b1 b,"(3, 5)",0
w2b2w1/3w4/4b3/3bwwbw/2wb4/5b2/2b5/6b1 w,"(4, 5)",0
w2b2w1/3w4/4b3/3bwwbw/2wb4/5b2/2b5/6b1 b,"(5, 5)",0
w2b2w1/3w4/4b3/3bwwbw/2wbw3/3b1b2/2b5/6b1 w,"(4, 6)",50
w2b2w1/3w4/4b3/3bwwbw/2wbw3/3b1b2/2b5/6b1 b,"(4, 3)",50
w2b2w1/3w4/3wb3/3bwwbw/2wbw3/3b1b2/2bb4/6b1 w,"(4, 7)",100,1
3w4/1wb5/8/b1bb4/www5/4w2b/1b5b/8 b,"(2, 4)",-50
3w4/1wb5/1b6/bwbb4/www5/4w2b/1b5b/8 w,"(2, 3)",-50
3w4/1wb5/1b6/bwbb4/www5/4w2b/1b5b/8 b,"(4, 5)",-100,-1
8/2w3b1/2b3w1/3bb3/bw3w2/8/8/8 w,"(4, 4)",0
8/2w3b1/2b3w1/3bb3/bw3w2/8/8/8 b,"(5, 5)",0
8/2w3b1/2b3w1/3bb3/bw1bww2/8/8/8 w,"(4, 5)",50
8/2w3b1/2b3w1/3bb3/bw1bww2/8/8/8 b,"(6, 3)",0
8/2w3b1/2b2ww1/2bbb3/bw1bww2/8/8/8 w,"(3, 4)",50
8/2w3b1/2b2ww1/2bbb3/bw1bww2/8/8/8 b,"(2, 4)",50
8/2w3b1/2b2ww1/1wbbbb2/bw1bww2/8/8/8 w,"(6, 4)",100,1
2b2w1w/3b1b1b/b1ww3w/1bw5/b7/6wb/1w1b4/2w3b1 b,"(5, 2)",-100,-1
1w2ww2/b1b1w1w1/1b3b1b/1b4bb/1b1b4/wbww3w/b7/3ww3 w,"(2, 3)",100,1
wb2b3/2wb4/3w1w1w/7b/2b1b3/1wb1b2w/bw1w4/6b1 w,"(5, 5)",0
wb2b3/2wb4/3w1w1w/7b/2b1b3/1wb1b2w/bw1w4/6b1 b,"(3, 4)",0
wb2b3/2wb4/3w1w1w/2wb3b/2b1b3/1wb1b2w/bw1w4/6b1 w,"(4, 4)",0
wb2b3/2wb4/3w1w1w/2wb3b/2b1b3/1wb1b2w/bw1w4/6b1 b,"(5, 3)",-50
wb2b3/2wb4/2bwww1w/2wb3b/2b1b3/1wb1b2w/bw1w4/6b1 w,"(3, 3)",50
wb2b3/2wb4/2bwww1w/2wb3b/2b1b3/1wb1b2w/bw1w4/6b1 b,"(2, 2)",-50
wb2b3/1wwb4/2bwww1w/1bwb3b/2b1b3/1wb1b2w/bw1w4/6b1 w,"(2, 4)",100,1
2b5/1wb1w1w1/5b2/1b6/w3w3/3w4/8/2b1bb2 b,"(3, 4)",50
2b5/1wb1w1w1/5b2/1bw5/w3w3/3w4/8/2bbbb2 w,"(4, 8)",100,1
8/8/8/4b3/3b4/5w2/7b/6w1 w,"(4, 5)",0
8/8/8/4b3/3b4/5w2/7b/6w1 b,"(5, 5)",0
8/8/8/3bb3/3bw3/5w2/7b/6w1 w,"(4, 4)",0
8/8/8/3bb3/3bw3/5w2/7b/6w1 b,"(3, 5)",0
8/8/8/2bbb3/2wbw3/5w2/7b/6w1 w,"(3, 4)",50
8/8/8/2bbb3/2wbw3/5w2/7b/6w1 b,"(2, 4)",50
8/8/8/1wbbbb2/2wbw3/5w2/7b/6w1 w,"(6, 4)",100,1
bw6/3wb3/3b3w/5w2/4b3/8/4w3/3b1b2 b,"(5, 4)",0
bw6/3wb3/3b3w/2b1ww2/4b3/8/4w3/3b1b2 w,"(3, 4)",50
bw6/3wb3/3b3w/2b1ww2/4b3/8/4w3/3b1b2 b,"(2, 5)",50
bw3b2/3wb3/3b3w/2b1ww2/1w2b3/8/4w3/3b1b2 w,"(6, 1)",100,1
4b3/2b5/8/5wwb/w3b3/6w1/4b3/8 w,"(5, 5)",0
4b3/2b5/8/5wwb/w3b3/6w1/4b3/8 b,"(4, 4)",-50
4b3/2b5/8/3wbwwb/w3b3/6w1/4b3/8 w,"(5, 4)",50
4b3/2b5/8/3wbwwb/w3b3/6w1/4b3/8 b,"(3, 5)",50
4b3/2b5/8/3wbwwb/w1w1b3/4b1w1/4b3/8 w,"(5, 6)",100,1
1b1b4/8/b7/8/8/7w/7w/8 b,"(4, 4)",0
1b1b4/8/b7/3wb3/8/7w/7w/8 w,"(5, 4)",0
1b1b4/8/b7/3wb3/8/7w/7w/8 b,"(3, 4)",0
1b1b4/8/b2b4/2wwb3/8/7w/7w/8 w,"(4, 3)",50
1b1b4/8/b2b4/2wwb3/8/7w/7w/8 b,"(4, 5)",50
1b1b4/2b5/b2b4/2wwb3/3w4/7w/7w/8 w,"(3, 2)",100,1
1b2b3/3bw2w/8/5b2/8/3w4/3w3b/8 b,"(4, 4)",-50
1b2b3/3bw2w/8/3w1b2/2b5/3w4/3w3b/8 w,"(3, 5)",-50
1b2b3/3bw2w/8/3w1b2/2b5/3w4/3w3b/8 b,"(4, 5)",-100,-1
8/8/8/1w6/3b4/3b4/8/8 w,"(4, 5)",0
8/8/8/1w6/3b4/3b4/8/8 b,"(5, 5)",0
8/8/8/1w1b4/3bw3/3b4/8/8 w,"(4, 4)",50
8/8/8/1w1b4/3bw3/3b4/8/8 b,"(4, 3)",50
8/8/3w4/1w1b4/3bw3/3b4/3b4/8 w,"(4, 7)",100,1
2w2wbb/1w1bb1ww/2bw1b2/3w1bw1/1w3b2/2w2b1w/2bb1wbb/1b2w3 w,"(6, 4)",100,1
w1bb1b2/4b1b1/1w6/4b2w/8/2wwb1w1/4w3/1b1wb3 b,"(3, 4)",50
w1bbbb2/4b1b1/1w6/2w1b2w/8/2wwb1w1/4w3/1b1wb3 w,"(5, 1)",100,1
8/8/1b2w3/8/8/8/bb6/1w1wb3 b,"(5, 4)",0
8/8/1b2w3/3bw3/8/8/bb6/1w1wb3 w,"(4, 4)",0
8/8/1b2w3/3bw3/8/8/bb6/1w1wb3 b,"(3, 4)",0
8/8/1b2w3/2wbw3/3b4/8/bb6/1w1wb3 w,"(4, 5)",0
8/8/1b2w3/2wbw3/3b4/8/bb6/1w1wb3 b,"(5, 5)",-50
